kmeans,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10,,fuzzycmeans,c=2,c=3,c=4,c=5,c=6,c=7,c=8,c=9,c=10
41,0.766026887,0.769981659,0.600186872,0.677737537,0.655749532,0.745133005,0.671275872,0.659832391,0.680041915,,41,0.675388226,0.824694143,1.164248929,0.691503942,0.838747312,0.753511109,0.94557443,0.786697429,0.931250087
42,0.684157476,0.694621002,0.705029092,0.745267083,0.867979671,0.939180733,0.850945719,0.880892655,0.928195153,,42,0.688799452,0.820278846,0.702400598,0.745267083,0.847899704,0.921338744,1.00479393,1.102515182,0.981141776
43,0.759525912,0.659610341,0.680791625,0.702388551,0.722300272,0.761979267,0.804523251,0.763778264,0.790351188,,43,0.715321369,0.977969508,0.68849531,0.710808799,0.731000802,0.778862529,0.810607354,0.868265712,0.904779539
44,0.408354552,0.399925159,0.595595921,0.677403634,0.624039339,0.717505538,0.760169013,0.672945448,0.734076888,,44,0.225055216,0.399925159,0.579473229,0.587844874,0.480285458,0.641929887,0.762813248,0.585891612,0.536392907
45,0.733327742,0.616684762,0.685467186,0.698006557,0.827334951,0.79689862,0.644220348,0.648044072,0.582201287,,45,0.947099204,1.042869108,0.693344849,0.55971688,0.42049712,0.461433237,0.460119352,0.451801803,0.519379866
46,0.061273559,0.247919161,0.337657582,0.426870007,0.5088025,0.667438796,0.683073146,0.67693722,0.765730141,,46,0.061273559,0.247919161,0.337657582,0.421663386,0.529179384,0.456698463,0.538994987,0.577311351,0.469265333
47,0.694470863,0.778354618,0.501093212,0.598057472,0.694882078,0.602966031,0.625506026,0.693170608,0.669772567,,47,0.92627451,0.767945739,0.824678202,0.825074441,0.848740587,0.839462915,0.820299467,0.843178094,0.911485032
48,0.400768821,0.660582714,0.781711512,0.612437883,0.6608808,0.72393656,0.685407323,0.72280186,0.755986476,,48,0.400768821,0.664988893,0.798856372,0.52775566,0.441296961,0.519923188,0.602272892,0.518632102,0.610065751
49,0.412909614,0.700636966,0.648185652,0.6591053,0.717029767,0.599795753,0.684535755,0.757462508,0.686865707,,49,0.412909614,0.699490486,0.42628608,0.561757787,0.747248441,0.559718788,0.77904576,0.690035879,0.556803276
50,0.03099673,0.050202708,0.374189922,0.49590428,0.712498892,0.538274733,0.634846349,0.664635115,0.659402074,,50,0.03099673,0.050202708,0.380505851,0.343803833,0.453325923,0.460159636,0.51426747,0.56543324,0.51018563
51,0.576579864,0.562598018,0.506139442,0.488900283,0.473510959,0.595788558,0.497265007,0.375633543,0.361855846,,51,0.576579864,0.595850245,0.36805493,0.318616226,0.239220053,0.318947504,0.401463692,0.446089277,0.185128552
52,0.615604504,0.463939246,0.559181555,0.658667959,0.693040677,0.612613861,0.630490797,0.635469554,0.778136216,,52,0.208698468,0.460770796,0.557682202,0.718981139,0.91457482,0.87594216,0.933589095,0.823010618,0.750533896
53,0.585388701,0.460368661,0.588988976,0.765854333,0.761520934,0.781360782,0.679011848,0.77776214,0.799303699,,53,0.245536748,0.460368661,0.581583655,0.744223504,0.912280833,0.878805117,0.983598,0.897978134,0.855893538
54,0.543262862,0.573828406,0.760038668,0.881056669,0.853098662,0.793807978,0.715031022,0.714718104,0.771011882,,54,0.543262862,0.592085026,0.750189078,0.882636226,0.961695677,0.865125594,0.883891419,0.848385739,0.773696794
55,0.599901658,0.656837361,0.665274871,0.63135425,0.716785808,0.72613361,0.735391098,0.73850565,0.698746774,,55,0.544677676,0.653765182,0.6842987,0.55754257,0.648443132,0.694834221,0.717063825,0.732944895,0.6734361
56,0.466101487,0.50421882,0.508919061,0.557049987,0.640300206,0.567711183,0.673441862,0.714388328,0.706808519,,56,0.40539554,0.37657864,0.339630296,0.416668526,0.43060237,0.512205413,0.458128558,0.414520172,0.385885774
